"identificador","titulo","autores","ano","veiculo","doi_ou_url","fonte_recuperacao","estrategia","decisao_fonte","classificacao_publicada","setor","camadas","arquivo_pdf","hash_pdf","status_evidencia","observacao_reconciliacao"
"CAND-000082__53e5dc7a","Assessing the User Experience of an LLM-Based Conversational Assistant in Diabetes Mellitus Care","Vasco Furtado, Jorge Araujo, Elizabeth S. Furtado, Rafael Bomfim, Vitória Silva, Nickolas Mororó, Lucas Vasconcelos, Cecília Carvalho, Marcos Severo, Juliana Torres, Juliana Oliveira, Antonio Bruno Freitas","2025","Journal of Healthcare Informatics Research","10.1007/s41666-025-00217-5","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","dialogue/personalization layer | multi-agent orchestration layer | safety detection layer","CAND-000082__53e5dc7a.pdf","c38c6d2b9c1774809c3ba226e5f55d2c429d26a58b0e6c4dcd97f756f597df8d","llm_evidence_not_found",""
"CAND-000102__a4826aa7","Generative AI in healthcare: an implementation science informed translational path on application, integration and governance","Sandeep Reddy","2024","Implementation Science","10.1186/s13012-024-01357-9","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","clinical workflow | ethical/legal | organizational","CAND-000102__a4826aa7.pdf","2652e6fc7e2a0778991bf9e62a55ac99d637f7ba56ca35421cabb7ccf175604d","llm_evidence_not_found",""
"CAND-000159__32d2e41d","Balancing innovation and risk: artificial intelligence in travel medicine","Perry J. J. van Genderen","2026","Tropical Diseases, Travel Medicine and Vaccines","10.1186/s40794-026-00309-z","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","deployment_validation_layer | risk_compliance_layer | supervision_layer","CAND-000159__32d2e41d.pdf","7169810d4adfd5bc9100f6bab0d716d5425dc701c2ba869ab4e2580e2c86345d","llm_evidence_not_found",""
"CAND-000166__a9294e17","Mapping the use of large language models in hiring decisions: a scoping review","Arpit Tripathi, Ankit Tripathi, Frantisek Darena, Pawan Kumar Mishra","2026","Frontiers in Artificial Intelligence","10.3389/frai.2026.1798519","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","human resources / recruitment and selection","evaluative layer | hiring pipeline application points | interpretive layer","CAND-000166__a9294e17.pdf","39b1870f6f5837e3388761243bd06170265d0867a62d163df8438e90d6a8d7e9","llm_evidence_not_found",""
"CAND-000170__3973d4b5","Generative AI in Medicine and Healthcare: A Comprehensive Review of Foundational Technologies, Clinical Applications, and Future Perspectives","Tomoshige Nakamura, Wataru Uchida, Akira Yamamoto, Shigeki Aoki","2026","Juntendo Medical Journal","10.14789/ejmj.JMJ25-0036-R","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application | governance | infrastructure","CAND-000170__3973d4b5.pdf","61bb1ed94d54e87604b51ef4b492e7b6cfb8eaee594fdc241a4efd9ae44cdd39","llm_evidence_not_found",""
"CAND-000172__c4eb8ecc","Expert perspectives on the ecosystem of medical AI oversight in the GenAI era","Stephen Gilbert; Tinglong Dai","2026","npj Digital Medicine (News & Views)","10.1038/s41746-026-02785-1","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare / medical AI regulation","clinical_practice_layer | organizational_deployment_layer | policy_regulatory_layer","CAND-000172__c4eb8ecc.pdf","0cf76124d64181479f63047812bc07fe4fb7beeb75ffb99563f97321dc97cfdc","llm_evidence_not_found",""
"CAND-000173__af0d8373","Development and validation of an artificial intelligence proof-of-concept tool for risk-based quality assessment of generic medicines: a South African case study","Danks, L.; Semete-Makokotlela, B.; Reynecke, C.; Dijeng, S.; Kgosietsile, B.; van Tonder, J.; van Graan, C.; Hinch, J.; Kruger, A.; Walker, S.; Salek, S.","2026","Frontiers in Medicine","10.3389/fmed.2026.1811333","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","pharmaceutical regulatory affairs / medicines regulation","deployment_security_layer | human_oversight_layer | model_layer | retrieval_knowledge_layer | validation_audit_layer","CAND-000173__af0d8373.pdf","2394f8820eda1ff9b30092e5efe6deed6e3608403a22468aec8942a4ae64bb2c","verificada conforme registro",""
"CAND-000176__d5002468","A review for navigating the trade-offs: evaluating open-source and proprietary large language models for clinical and biomedical information extraction","Sugihara, Y.; Milosavljevic, A.; Jankovskaja, S.; Falk, M.","2026","Frontiers in Digital Health","10.3389/fdgth.2026.1778786","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare; clinical; biomedical","deployment architecture | ethical governance | model selection | regulatory compliance","CAND-000176__d5002468.pdf","bf22c457ee2765c4ba61bb6af2bae54b5d80decb0f22e0d27f021b31fdf043ad","llm_evidence_not_found",""
"CAND-000177__90ef9569","AI-driven framework for contract risk automation and compliance in Oracle CPQ","Rajesh Soma","2026","Scientific Reports","10.1038/s41598-026-55942-7","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","IT and SaaS enterprise contract management and quoting (Oracle CPQ)","AI Governance Layer | BERT-Based Semantic Matching Engine | Clause Interpretation Module | Data Ingestion Layer | GPT-4 Generative AI Module","CAND-000177__90ef9569.pdf","65d9b7410afaf86169d2e0cfab4ca3b4d041b5fd2ce0ab3ec4e4a73b2bd47f56","verificada conforme registro",""
"CAND-000230__f9e04498","From principles to practice: a novel matrix for evaluating AI-powered learning platforms based on the UNESCO Ethical Impact Assessment tool","Rima J. Isaifan, Ayman Tawalbeh, Mazen O. Hasna","2025","Frontiers in Education","10.3389/feduc.2025.1640780","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","education","evaluation matrix (18 indicators) | implementation framework (Khanmigo) | scoring and ranking layer | stakeholder engagement and lifecycle ethics","CAND-000230__f9e04498.pdf","e7a4b2f1d8559b250e7ccc0ade517011dd42cce89cee111942c257aa8c6eaac2","llm_evidence_not_found",""
"CAND-000232__44ed0b15","LLM-Powered Observability Enhancing Monitoring and Diagnostics","Premkumar Ganesan","2024","Journal of Artificial Intelligence, Machine Learning and Data Science","10.51219/JAIMLD/premkumar-ganesan/304","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","compliance_privacy | ethical_risk | infrastructure_observability | model_performance_monitoring","CAND-000232__44ed0b15.pdf","26ebd6a505c96e394b4f98fe4525795a9449a9001b5d8750921111553e0f1b76","verificada conforme registro",""
"CAND-000235__f629befe","Model Context Protocol: Enhancing LLM Performance for Observability and Analytics","Narendra Reddy Sanikommu","2025","European Journal of Computer Science and Information Technology","10.37745/ejcsit.2013/vol13n29112126","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise","data integration layer | operational layer | technical governance layer","CAND-000235__f629befe.pdf","f83458a3a056e33a85cdf213f87488dbe7ef74ba7e106ecad082df2ce4bb03d8","verificada conforme registro",""
"CAND-000255__d65d93a4","A Trustworthy AI and Data Governance Architecture for Ensuring Integrity and Ethics in Large Language Model Deployments across Enterprise Platforms","Minjun Park, Hiroshi Tanaka, Wei Chen, Jaehoon Kim, Ananya Kulkarni","2024","International Journal of Scientific Research in Science, Engineering and Technology","10.32628/IJSRSET242437","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise cross-domain (human resources, finance, customer service, compliance management)","data acquisition | fine-tuning | inference monitoring | model training | post-deployment auditing | prompt orchestration | retrieval augmentation","CAND-000255__d65d93a4.pdf","232742f93df93b8cf24b23d5a585356075fff98783effe7fbd5309b270f3622a","llm_evidence_not_found",""
"CAND-000303__bea97d47","ChatGPT in medicine: an overview of its applications, advantages, limitations, future prospects, and ethical considerations","Tirth Dave, Sai Anirudh Athaluri, Satyam Singh","2023","Frontiers in Artificial Intelligence","10.3389/frai.2023.1169595","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application layer","CAND-000303__bea97d47.pdf","56348918a272da7b7a0cbbe0c09ed19c99097ab94692a1fefaa76350b288739f","llm_evidence_not_found",""
"CAND-000310__f9dbad49","Generative AI in Medical Practice: In-Depth Exploration of Privacy and Security Challenges","Yan Chen; Pouyan Esmaeilzadeh","2024","Journal of Medical Internet Research","10.2196/53008","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","health care","data layer | deployment or implementation layer | model development layer | organizational adoption layer","CAND-000310__f9dbad49.pdf","890f49769d0f9157f6dacea77602a9ea68814815b6b0f6657332891225426882","verificada conforme registro",""
"CAND-000314__4aed42e3","AI and ethics: Investigating the first policy responses of higher education institutions to the challenge of generative AI","Attila Dabis; Csaba Csáki","2024","Humanities and Social Sciences Communications","10.1057/s41599-024-03526-z","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","higher education","ethical compliance | human oversight | organizational governance | policy layer","CAND-000314__4aed42e3.pdf","e95f847a8b707c907a914c9d516d932b14808c66f0e0ac17c613ec77457f63e0","llm_evidence_not_found",""
"CAND-000323__025f3e29","Generative LLM Powered Conversational AI Application for Personalized Risk Assessment: A Case Study in COVID-19","Mohammad Amin Roshani, Xiangyu Zhou, Yao Qiang, Srinivasan Suresh, Steve Hicks, Usha Sethuraman, Dongxiao Zhu","2024","JMIR Preprints (submitted to JMIR AI)","10.2196/preprints.67363","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","application layer | limited interpretability layer | model/inference layer","CAND-000323__025f3e29.pdf","2c50d89d39cb6006d5fdeb8e591b8ba93dba4befef02cd34630a5e273e3e09aa","verificada conforme registro",""
"CAND-000348__7df34e9d","Clinical artificial intelligence (AI) in Japan: Regulatory pathways, domain-specific evidence, and its data infrastructure from an international perspective","Kenji Karako; Wei Tang","2026","Global Health & Medicine","10.35772/ghm.2026.01048","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","operational_deployment | regulatory_compliance | risk_management","CAND-000348__7df34e9d.pdf","5bc134fd479da12f8f664b78313059aec748d53ad50812d24a81c6d65bea0298","verificada conforme registro",""
"CAND-000356__6afac0ca","Conversational Artificial Intelligence in Medical Education: A Scoping Review","Tasniya Aktar, Robert J. Farquhar, Chris Jacobs","2026","Cureus","10.7759/cureus.107391","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare; medical education","application_layer | human_supervision_layer","CAND-000356__6afac0ca.pdf","c83198b707a2e15e3312d5169df837d945caaf3a3ccbacfacae3ca6c78a658c4","verificada conforme registro",""
"CAND-000361__3c0c5e12","Leveraging chatbots for enhanced decision-making: a comprehensive literature review","Phiwe M. Simelane; Javeed Kittur","2026","Frontiers in Artificial Intelligence","10.3389/frai.2026.1748544","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","education; healthcare; finance; engineering; business","application layer | decision support layer | ethics layer","CAND-000361__3c0c5e12.pdf","ea5c4b96ffe0962458e0b5316f066a3fd7fd3c39f6392bb9ef11c20889bece53","llm_evidence_not_found",""
"CAND-000368__82e661f3","Large language models in patient education for brain tumors: opportunities, risks, and ethical considerations","Rafail C. Christodoulou, Platon S. Papageorgiou, Ana Carolina Lucio Pereira, Elena E. Solomou, Sokratis G. Papageorgiou, Evros Vassiliou, Michalis F. Georgiou","2026","Frontiers in Oncology","10.3389/fonc.2026.1795441","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","ethical and compliance alignment | human-in-the-loop supervision | patient-facing conversational interface","CAND-000368__82e661f3.pdf","241bb9b311386a0f91f53bbed44d5a05aa063a243e9420c5c6805518e5e5ca13","llm_evidence_not_found",""
"CAND-000370__6d537d0e","Use of Artificial Intelligence in Public Health Education for Pandemic Preparedness and Response","Souza ECSG, dos Santos Junior AG, Félix AMS, Assunção Borges JP, de Oliveira LB, Carneiro LM, de Sousa AFL","2026","Annals of Global Health","10.5334/aogh.5130","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","public health education","interaction_layer | oversight_layer | policy_governance_layer","CAND-000370__6d537d0e.pdf","845339177d7fd55778d3150c6d3a854aa2b0f752ba9f1db42dd89ab632846fae","verificada conforme registro",""
"CAND-000394__ec64aec9","AI Governance Control Stack for Operational Stability: Achieving Hardened Governance in AI Systems","Horatio Morgan Morgan","2026","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise environments including financial services, healthcare, logistics, and public administration","drift monitoring and resilience testing layer | evidence-based verification layer | explainability logging layer | institutional oversight and escalation layer | version governance layer","CAND-000394__ec64aec9.pdf","0cea6d38c8e2feb8ca5681d78b15f0cff48085720014c840464f59cc4a245816","verificada conforme registro",""
"CAND-000395__c6584b04","Governed AI-Assisted Engineering: Graduated Human Oversight for Agentic Code Generation in Regulated Domains","Richard Kang","2025","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","banking, insurance, healthcare, energy, financial services","cross-cutting safety controls | evidence capture and audit trail | human interaction layer | monitoring subsystem | oversight tier routing | task classification (OCM)","CAND-000395__c6584b04.pdf","75f44695e22ed1ee288d0a967e0ebde79a573d9bcd672bc958d41e07d065aa19","verificada conforme registro",""
"CAND-000399__dd91bdfd","PALLM: Evaluating and Enhancing PALLiative Care Conversations with Large Language Models","Zhiyuan Wang, Fangxu Yuan, Virginia LeBaron, Tabor Flickinger, Laura E. Barnes","2024","unclear","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","evaluation | monitoring","CAND-000399__dd91bdfd.pdf","5813edbb39d264927de00d9d34fdb933894e35535393150b50460c84012b38b5","verificada conforme registro",""
"CAND-000403__76231030","Towards an AI Observatory for the Nuclear Sector: A tool for anticipatory governance","Aditi Verma; Elizabeth Williams","2025","STAIGCHI '25, Proceedings of April 26, 2025, ACM","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","Nuclear energy / nuclear sector","institutional | policy | sectoral | technical-system interaction","CAND-000403__76231030.pdf","ac27dbca932260ab8e432285ea652df0a922a5e624a99b60ba338ccec9b7d5c2","llm_evidence_not_found",""
"CAND-000404__bc9b6145","Secure Human Oversight of AI: Threat Modeling in a Socio-Technical Context","Ditz, J. C., Lazar, V., Lichtmeß, E., Plesch, C., Heck, M., Baum, K., & Langer, M.","2026","arXiv","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","cybersecurity; public administration; AI governance","human_factors | organizational_oversight | policy_regulatory | technical_security","CAND-000404__bc9b6145.pdf","94b410eb830b0d4755e7ec64e20b2007c5dc10f97d30de43f300e4088977a167","verificada conforme registro",""
"CAND-000406__21a350de","Does My Chatbot Have an Agenda? Understanding Human and AI Agency in Human-Human-like Chatbot Interaction","Bhada Yun; Evgenia Taranova; April Yi Wang","2026","arXiv preprint (cs.HC)","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","general consumer/companion chatbot research (non-sector-specific participant pool)","agent_behavior_layer | environmental_modulators | interaction_layer | transparency_layer","CAND-000406__21a350de.pdf","50b0c343d6250ab5ba3f1144adf64d5fbf977c2ffacdbf461a64be5604137028","llm_evidence_not_found",""
"CAND-000417__4cf8f1f2","A comprehensive review of large language models: issues and solutions in learning environments","Tariq Shahzad; Tehseen Mazhar; Muhammad Usman Tariq; Wasim Ahmad; Khmaies Ouahada; Habib Hamam","2025","Discover Sustainability","10.1007/s43621-025-00815-8","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","education","application_domain | policy_ethics","CAND-000417__4cf8f1f2.pdf","f54e3db074acf4b2c13afaec0b3bb6c4dfec1b130a01468a0ee6d1dc93728db5","verificada conforme registro",""
"CAND-000422__3ee816fd","Trust Layers: AI-Augmented Multi-Layer Risk Compliance Engines for Next-Gen Banking Infrastructure","Srinivasarao Paleti","2023","Educational Administration: Theory and Practice","10.53555/kuey.v29i4.9788","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","banking / financial services","Layer 1: data trust agent (unclear detail in excerpt) | Layer 2: Transaction Monitoring (ML-TM) | up to five trust layers (total count stated, not all detailed in excerpt)","CAND-000422__3ee816fd.pdf","608235bc467880f734f399d7eb22715f539b37e89647aa1e184e79d07655c141","verificada conforme registro",""
"CAND-000426__74eb248d","The Role of Generative AI in Enhancing Customer Experience and Risk Management in Credit Card Services","Abhishek Dodda","2022","International Journal of Scientific Research and Modern Technology","10.38124/ijsrmt.v1i12.491","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","credit card services / fintech / financial services","operational | strategic","CAND-000426__74eb248d.pdf","3568be173dcca357662e90c9863b0cb1604d79cdb1e3eee0f2d652ae296d71a1","llm_evidence_not_found",""
"CAND-000430__f1fa26de","Chatbots: Security, privacy, data protection, and social aspects","Martin Hasal; Jana Nowaková; Khalifa Ahmed Saghair; Hussam Abdulla; Václav Snášel; Lidia Ogiela","2021","Concurrency and Computation: Practice and Experience","10.1002/cpe.6426","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","shopping, banking, healthcare, meal delivery, automotive, social/messaging platforms","compliance_layer | data_layer | human_oversight_layer | interaction_layer","CAND-000430__f1fa26de.pdf","5c83b89add23a088b3f772d52a4906d67af6524c90a13c0378580d23b4764dae","llm_evidence_not_found",""
"CAND-000451__83eba9cc","Ethical and Legal Governance of Generative AI in Chinese Healthcare","Jinrun Jia, Shiqiao Zhao","2025","Journal of Multidisciplinary Healthcare","10.2147/JMDH.S541271","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","ethical | legal | policy | regulatory","CAND-000451__83eba9cc.pdf","7482ad7aae886b8d9bd4595214eea76cc0e9dcbe5ce831510b2c74d5e0b7fb84","verificada conforme registro",""
"CAND-000466__203c64d1","Feasibility of a multi-metric framework for evaluating patient-facing AI communication in cosmetic dentistry: an exploratory proof-of-concept study","Alaa Al-Haddad, Omar Al-Karadsheh, Yazan Hassona","2026","Frontiers in Oral Health","10.3389/froh.2026.1837073","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare; dentistry; cosmetic dentistry","clinical safety audit | output quality evaluation | safety messaging and disclaimers","CAND-000466__203c64d1.pdf","17066ef53d8a0bb4f5a35f66e3c91a8aa161414b4cf1362a84bae02c28dc7bc2","llm_evidence_not_found",""
"CAND-000472__cf16aad6","A Five-Layer Framework for AI Governance: Integrating Regulation, Standards, and Certification","Avinash Agarwal; Manisha J. Nene","2025","Transforming Government: People, Process and Policy","10.1108/TG-03-2025-0065","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","telecom, healthcare, finance, transportation, defense, public services","certification ecosystem | certification schemes | regulatory mandates | standardized assessment procedures | standards","CAND-000472__cf16aad6.pdf","1a5b3b7427e14ad7b768b76f8d2a4a48ce1e14aed55bc53f96b3b674ce0cc727","llm_evidence_not_found",""
"CAND-000475__fe06aa0d","Making AI Compliance Evidence Machine-Readable","Rodrigo Cilla Ugarte; Miguel Ángel Patricio Guisado; Antonio Berlanga de Jesús; José Manuel Molina López","2024","IEEE Computer","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","Financial services (credit scoring); healthcare (medical imaging)","enforcement | evidence | policy","CAND-000475__fe06aa0d.pdf","98356acf21e9ed700863448612a777dce8d99d6ef8166c379e7a0922fca77bed","llm_evidence_not_found",""
"CAND-000476__e7c35f14","Who Governs the Machine? A Machine Identity Governance Taxonomy (MIGT) for AI Systems Operating Across Enterprise and Geopolitical Boundaries","Andrew Kurtz; Klaudia Krawiecka","2026","arXiv","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","enterprise AI governance, cybersecurity, identity and access management, cross-jurisdictional policy","governance taxonomy | implementation roadmap | regulatory alignment structure | risk taxonomy | threat model","CAND-000476__e7c35f14.pdf","52df0e7b78e1b437be893b1e88d0cb2c65a7f75bd1c094e176b6b6453e399c17","llm_evidence_not_found",""
"CAND-000480__e7b4b8ac","An Overview of the Risk-based Model of AI Governance","Veve Fry","unclear","unclear","10.1093/oxfordhb/9780199560219.003.0014","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","cross-sector AI governance policy; examples include food safety and financial regulation","policy and regulatory layer | risk assessment layer","CAND-000480__e7b4b8ac.pdf","6e6b57e77612b004bae23777cc3fd6d26a31d32932b1ba907c5a6369e78cb869","llm_evidence_not_found",""
"CAND-000488__47539b60","With Great Capabilities Come Great Responsibilities: Introducing the Agentic Risk & Capability Framework for Governing Agentic AI Systems","Shaun Khoo, Jessica Foo, Roy Ka-Wei Lee","2025","arXiv preprint (submitted to IASEAI'26)","unclear","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","unclear","capabilities | components | design | domain/use-case/organizational context | technical controls","CAND-000488__47539b60.pdf","0109918d7cb73c652997c71c73dd3ebe91cda4b4b3cbebc9570f08fc0ce92247","llm_evidence_not_found",""
"CAND-000490__c6cf0bbb","Responsible Artificial Intelligence governance in oncology","Peter D. Stetson, January Choy, Natalia Summerville, Abigail Baldwin-Medsker, Janet Mak, Avijit Chatterjee, Kristen Kim, Chhavi Kumar, Patrick Samedy, Joanna Halperin, Louis Voigt, Justin Jee, Jill Fraser, MaryAnn Connor, Richard Harper, Rémy Evard, Anaeze C. Offodile 2nd","2025","npj Digital Medicine","10.1038/s41746-025-01794-w","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","ethics | governance | lifecycle management | monitoring | organizational structure | risk management","CAND-000490__c6cf0bbb.pdf","44084643bbfaac66815c1903794c40fd22d64c959038a8807b23c178f4794c03","llm_evidence_not_found",""
"CAND-000495__a40cd96b","Threats and vulnerabilities in artificial intelligence and agentic AI models","Petar Radanliev, Omar Santos, Carsten Maple","2026","Frontiers in Artificial Intelligence","10.3389/frai.2026.1731566","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare imaging, autonomous mobility, biometric security, national security","actuation | cognition | consent and compliance | data interface | executive/policy | perception","CAND-000495__a40cd96b.pdf","6784a0a05d7ead9a99850af6a9a4cf78dc75c2af3dc80c41d6cc488d2973d700","verificada conforme registro",""
"CAND-000523__369ceedc","Human-in-the-loop assessment with AI: implications for teacher education in Ibero-American universities","Diana Carolina Fajardo-Ramos, Andrés Chiappe, Javier Mella-Norambuena","2025","Frontiers in Education","10.3389/feduc.2025.1710992","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","higher education; teacher education","assessment tool taxonomy | data interpretation and fairness | human oversight workflows | platform orchestration and moderation | policy and ethical safeguards","CAND-000523__369ceedc.pdf","a4e61d7e931f15e394673c35fecd141f60025984ee367ba6466a0373838d60b5","llm_evidence_not_found",""
"CAND-000527__5b71db78","Operationalising ethics in artificial intelligence for healthcare: a framework for AI developers","Pravik Solanki; John Grundy; Waqar Hussain","2022","AI and Ethics","10.1007/s43681-022-00195-z","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","data management | deployment | model development | monitoring","CAND-000527__5b71db78.pdf","3d7ee28bed5c1cf3302a39d53996afe3e5570c48ddd5c2114ef9a13fd3a51100","llm_evidence_not_found",""
"CAND-000535__89e0368d","Human-in-the-Loop Models for Ethical AI Grading: Combining AI Speed with Human Ethical Oversight","Muthu Selvam; Rubén González Vallejo","2025","EthAIca","10.56294/ai2025413","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","education","human validation and contextual adjustment of AI outputs | pre-grading configuration with customizable rubrics and model calibration | preliminary scoring using transformer-based language models | transparent feedback supported by dual-logged audit trails","CAND-000535__89e0368d.pdf","4f3c54a3c6c072667a0a00683c8245f3558d4c28695d6b2be3f20092cfdc91c1","llm_evidence_not_found",""
"CAND-000557__777a1cfd","Generative AI for pre-consultation mental health triage in disorders of gut-brain interaction","Dakai Zeng, He Zeng, Jie Song, Kai Zhu","2026","Frontiers in Psychiatry","10.3389/fpsyt.2026.1854670","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","clinician_oversight | data_collection_scope | escalation_routing | post_deployment_evaluation | safety_safeguards | task_definition","CAND-000557__777a1cfd.pdf","afaedb18eea8c6f2667886451585f74ff9d1f606aa7b7ce2c9ac572c7de997c6","llm_evidence_not_found",""
"CAND-000562__53c1fcf5","From companion technologies to social care infrastructure: A multi-level perspective on loneliness-related support in dementia care in an era of artificial intelligence (AI)","Machiko Uenishi; Peipei Song","2026","Global Health & Medicine","10.35772/ghm.2026.01063","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","care ecosystem | individual engagement | relational interaction","CAND-000562__53c1fcf5.pdf","6ea58e7be504d21abe1a5a705739267f11781a90ce85419348efd8d997892475","verificada conforme registro",""
"CAND-000563__3645af07","Proactive adoption of generative artificial intelligence (AI) in the operations of Japan's Pharmaceuticals and Medical Devices Agency (PMDA): Current initiatives, governance, and future perspectives","Kohei Amakasu, Junichi Kawana, Osamu Kotera, Tomoharu Numanyu, Akihiro Nakajima, Koichi Ishikawa, Yuka Kobayashi, Yoshiaki Uyama","2026","Global Health & Medicine","10.35772/ghm.2026.01046","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","pharmaceutical and medical device regulatory agency","human oversight | information governance | operational implementation | policy governance","CAND-000563__3645af07.pdf","5cbd00e765c77ec1f1c27de774c48ec40e0fa2c403ea90f54ab6c1949a7a304d","llm_evidence_not_found",""
"CAND-000571__1ac2c0aa","Designing and evaluating large language model-enabled clinical decision support for heart failure: a modular and risk-tiered framework","Zhu W, Peng J, Yan Z, Chen Y, Xu J, Zhang L","2026","Frontiers in Digital Health","10.3389/fdgth.2026.1730457","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare / cardiology / clinical decision support","clinical governance embedding | deployment monitoring | design requirements | risk stratification | validation pathways","CAND-000571__1ac2c0aa.pdf","ecf1af693a2d3d7554653e8b59ba8aaa3504b0f0e61f4fc730bec1bba52e48a4","verificada conforme registro",""
"CAND-000573__fd03f89e","Human-supervised, large language model-based clinical decision support aligned to national newborn protocols in Kenya: a pragmatic, early-stage evaluation","Kuria, T.; Kamau, G.; Makokha, F.; Omondi, P.; Mbugua, G.; Kamau, D.; Mbugua, S.; Gitaka, J.","2026","Frontiers in Digital Health","10.3389/fdgth.2026.1832634","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","healthcare","fine-tuned LLM inference layer | human clinical oversight layer | implementation and coaching layer | protocol knowledge base","CAND-000573__fd03f89e.pdf","ee9cc4bd9f0ccc898529d0722b8469c8ea2879e7108d1f15ea29d9280bb3ea03","llm_evidence_not_found",""
"CAND-000575__cd2ffb8d","Rapid review on GenAI in nursing education","Laura Hinsche, Martina Hasseler, Tim Tischendorf, Tom Schaal","2026","Frontiers in Health Services","10.3389/frhs.2025.1725425","checkpoint_results.jsonl","consultar logs de busca","supporting_evidence","evidencia_apoio","nursing education / healthcare education","education_practice | human_supervision | policy_and_ethics","CAND-000575__cd2ffb8d.pdf","bb2006e2997f6960b9ba60cef0341a144ba34af6b7ad7046298c5e0161309cf9","llm_evidence_not_found",""
